"FaciltyId","Year","Measure","Note"
"50236",2018,"I_001_02","5"
"50262",2018,"I_001_02","2"
"50283",2018,"I_001_02","5"
"50441",2018,"I_001_02","5"
"50471",2018,"I_001_02","5"
"50498",2018,"I_001_02","5"
"50580",2018,"I_001_02","5"
"50603",2018,"I_001_02","5"
"50625",2018,"I_001_02","2"
"53038",2018,"I_001_02","5"
"53040",2018,"I_001_02","3"
"60001",2018,"I_001_02","5"
"60006",2018,"I_001_02","2"
"60011",2018,"I_001_02","1"
"60012",2018,"I_001_02","3"
"60014",2018,"I_001_02","5"
"60031",2018,"I_001_02","2"
"100052",2018,"I_001_02","3"
"100249",2018,"I_001_02","5"
"110010",2018,"I_001_02","5"
"110165",2018,"I_001_02","3"
"130049",2018,"I_001_02","5"
"140052",2018,"I_001_02","3"
"140125",2018,"I_001_02","3"
"140135",2018,"I_001_02","5"
"140150",2018,"I_001_02","3"
"140239",2018,"I_001_02","5"
"140276",2018,"I_001_02","2"
"150001",2018,"I_001_02","3"
"180009",2018,"I_001_02","5"
"180040",2018,"I_001_02","2"
"180056",2018,"I_001_02","5"
"193098",2018,"I_001_02","3"
"230013",2018,"I_001_02","5"
"230021",2018,"I_001_02","3"
"230077",2018,"I_001_02","5"
"230093",2018,"I_001_02","5"
"230301",2018,"I_001_02","5"
"240063",2018,"I_001_02","5"
"240064",2018,"I_001_02","5"
"240196",2018,"I_001_02","5"
"250001",2018,"I_001_02","5"
"260074",2018,"I_001_02","5"
"283026",2018,"I_001_02","3"
"290007",2018,"I_001_02","5"
"290008",2018,"I_001_02","5"
"290009",2018,"I_001_02","5"
"290019",2018,"I_001_02","5"
"320009",2018,"I_001_02","5"
"320065",2018,"I_001_02","5"
"320085",2018,"I_001_02","5"
"330078",2018,"I_001_02","5"
"330125",2018,"I_001_02","5"
"330159",2018,"I_001_02","5"
"330160",2018,"I_001_02","2"
"330211",2018,"I_001_02","5"
"330290",2018,"I_001_02","5"
"330306",2018,"I_001_02","5"
"340015",2018,"I_001_02","2"
"340028",2018,"I_001_02","2"
"340040",2018,"I_001_02","2"
"340047",2018,"I_001_02","2"
"340069",2018,"I_001_02","2"
"340097",2018,"I_001_02","5"
"340107",2018,"I_001_02","2"
"340115",2018,"I_001_02","2"
"340116",2018,"I_001_02","2"
"340132",2018,"I_001_02","2"
"340141",2018,"I_001_02","2"
